check,flag,value,record_start,record_end,flagged_timestamps,message,basin_id,series,check_group,threshold,expected_timestep,series_type,status
missing_values,True,2.0,1980-01-10 00:00:00,2021-09-14 00:00:00,"['2014-11-19 00:00:00', '2015-01-08 00:00:00']",Internal missing day count = 2.,GRDC_4123300,obs,basic,,,,
long_gaps,False,1.0,,,[],Longest internal missing gap = 1 day(s).,GRDC_4123300,obs,basic,>3 consecutive missing days,,,
negative_discharge,False,0.0,,,[],Negative discharge count = 0.,GRDC_4123300,obs,basic,,,,
duplicate_timestamps,False,0.0,,,[],Duplicate timestamp count = 0.,GRDC_4123300,obs,basic,,,,
timestep_consistency,False,0.0,,,[],Irregular daily timestep count = 0.,GRDC_4123300,obs,basic,,1 day,,
missing_values,False,0.0,1980-01-10 00:00:00,2023-05-18 00:00:00,[],Internal missing day count = 0.,GRDC_4123300,sim,basic,,,,
long_gaps,False,0.0,,,[],Longest internal missing gap = 0 day(s).,GRDC_4123300,sim,basic,>3 consecutive missing days,,,
negative_discharge,False,0.0,,,[],Negative discharge count = 0.,GRDC_4123300,sim,basic,,,,
duplicate_timestamps,False,0.0,,,[],Duplicate timestamp count = 0.,GRDC_4123300,sim,basic,,,,
timestep_consistency,False,0.0,,,[],Irregular daily timestep count = 0.,GRDC_4123300,sim,basic,,1 day,,
zero_flow_regime,False,0.0,,,[],Zero-flow ratio = 0.000; zero-flow count = 0; zero-flow spells = 0; longest zero-flow spell = 0 day(s); zero-flow months = [].,GRDC_4123300,obs,behavioural,,,obs,descriptor
low_variability,True,21.0,,,"['1991-10-23 00:00:00', '1991-10-24 00:00:00', '1991-10-25 00:00:00', '1991-10-26 00:00:00', '1991-10-27 00:00:00', '1991-10-28 00:00:00', '1991-10-29 00:00:00', '1991-10-30 00:00:00', '1991-10-31 00:00:00', '1991-11-01 00:00:00', '1991-11-02 00:00:00', '1991-11-03 00:00:00', '1991-11-04 00:00:00', '1991-11-05 00:00:00', '1991-11-06 00:00:00', '1991-11-07 00:00:00', '1991-11-08 00:00:00', '1991-11-09 00:00:00', '1991-11-10 00:00:00', '1991-11-11 00:00:00', '1991-11-12 00:00:00']",Low variability uses 21-day rolling CV and rolling range; month-wise lower quantile = 0.01; spell-length threshold learned from series = 20.3 timestep(s); flagged timesteps = 21.,GRDC_4123300,obs,behavioural,,,obs,completed
spike_dip,False,0.0,,,[],Spike/dip candidates = 0; local deviation threshold learned from Q0.990; neighbour consistency threshold learned from Q0.500; minimum discharge threshold learned from Q0.900.,GRDC_4123300,obs,behavioural,,,obs,completed
step_shift,True,3.0,,,"['2012-12-09 00:00:00', '2012-12-10 00:00:00', '2015-07-25 00:00:00']",Step-shift candidates = 3; method = 14-day before/after rolling median; threshold learned from step-score Q0.995; requires stable before/after windows and persistent after-level.,GRDC_4123300,obs,behavioural,,,obs,completed
gradual_drift,False,0.0,,,[],No gradual drift candidate detected.,GRDC_4123300,obs,behavioural,,,obs,completed
zero_flow_regime,False,0.0,,,[],Zero-flow ratio = 0.000; zero-flow count = 0; zero-flow spells = 0; longest zero-flow spell = 0 day(s); zero-flow months = [].,GRDC_4123300,sim,behavioural,,,sim,descriptor
low_variability,False,0.0,,,[],Low variability uses 21-day rolling CV and rolling range; month-wise lower quantile = 0.01; spell-length threshold learned from series = 9.0 timestep(s); flagged timesteps = 0.,GRDC_4123300,sim,behavioural,,,sim,completed
